[2020-02-11T20:42:58.388+0000][gc,phases    ] GC(12)   Pre Evacuate Collection Set: 0.0ms
[2020-02-11T20:42:58.388+0000][gc,phases    ] GC(12)   Evacuate Collection Set: 0.8ms
[2020-02-11T20:42:58.388+0000][gc,phases    ] GC(12)   Post Evacuate Collection Set: 0.6ms
[2020-02-11T20:42:58.388+0000][gc,phases    ] GC(12)   Other: 0.3ms
[2020-02-11T20:42:58.388+0000][gc,heap      ] GC(12) Eden regions: 86->0(100)
[2020-02-11T20:42:58.388+0000][gc,heap      ] GC(12) Survivor regions: 1->1(11)
[2020-02-11T20:42:58.388+0000][gc,heap      ] GC(12) Old regions: 6->6
[2020-02-11T20:42:58.388+0000][gc,heap      ] GC(12) Humongous regions: 0->0
[2020-02-11T20:42:58.388+0000][gc,metaspace ] GC(12) Metaspace: 8263K->8263K(1056768K)
[2020-02-11T20:42:58.388+0000][gc           ] GC(12) Pause Young (Normal) (G1 Evacuation Pause) 92M->6M(512M) 2.004ms
[2020-02-11T20:42:58.388+0000][gc,cpu       ] GC(12) User=0.01s Sys=0.00s Real=0.00s
[2020-02-12T02:22:35.128+0000][gc,start     ] GC(13) Pause Young (Normal) (G1 Evacuation Pause)
[2020-02-12T02:22:35.128+0000][gc,task      ] GC(13) Using 10 workers of 10 for evacuation
[2020-02-12T02:22:35.130+0000][gc,phases    ] GC(13)   Pre Evacuate Collection Set: 0.0ms
[2020-02-12T02:22:35.130+0000][gc,phases    ] GC(13)   Evacuate Collection Set: 0.8ms
[2020-02-12T02:22:35.130+0000][gc,phases    ] GC(13)   Post Evacuate Collection Set: 0.6ms
[2020-02-12T02:22:35.130+0000][gc,phases    ] GC(13)   Other: 0.3ms
[2020-02-12T02:22:35.130+0000][gc,heap      ] GC(13) Eden regions: 100->0(115)
[2020-02-12T02:22:35.130+0000][gc,heap      ] GC(13) Survivor regions: 1->1(13)
[2020-02-12T02:22:35.130+0000][gc,heap      ] GC(13) Old regions: 6->6
[2020-02-12T02:22:35.130+0000][gc,heap      ] GC(13) Humongous regions: 0->0
[2020-02-12T02:22:35.130+0000][gc,metaspace ] GC(13) Metaspace: 8263K->8263K(1056768K)
[2020-02-12T02:22:35.130+0000][gc           ] GC(13) Pause Young (Normal) (G1 Evacuation Pause) 106M->6M(512M) 1.966ms
[2020-02-12T02:22:35.130+0000][gc,cpu       ] GC(13) User=0.01s Sys=0.00s Real=0.00s
